"tweet_id","vader_sentiment_categ","manual_sentiment_categ","flag","avaliador"
"1388079696798175233",Negativo Médio,Negativo Fraco,A,tnnomrt3rg656u2rst71u0umh8
"1388195750144839682",Negativo Forte,Negativo Médio,A,noe25tih2m9hi3fa899jenetob
"1388195750144839682",Negativo Forte,Negativo Médio,A,noe25tih2m9hi3fa899jenetob
"1388483652384927749",Positivo Forte,Negativo Médio,D,d7gesl3gppc1drt2r90l0kksc0
"1388535058605150213",Positivo Médio,Negativo Fraco,D,d7gesl3gppc1drt2r90l0kksc0
"1388555625412628487",Negativo Forte,Negativo Forte,A,u00k428m046o7mq4ipq5uhnlgq
"1388555625412628487",Negativo Forte,Negativo Médio,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1388560095466950658",Negativo Forte,Negativo Fraco,D,c2ua8va222fs9lii7teqlu3s6c
"1388586001698893841",Negativo Forte,Neutra,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1388898676475678721",Negativo Fraco,Negativo Médio,D,oof1qva57oj5hki084b5hi7m5a
"1388923466481643525",Negativo Médio,Negativo Médio,D,d7gesl3gppc1drt2r90l0kksc0
"1389038539262791681",Positivo Médio,Negativo Forte,A,t7bjj9sm036osqj82ms7931pib
"1389038539262791681",Positivo Médio,Negativo Médio,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1389237077762617348",Negativo Forte,Positivo Fraco,A,c2ua8va222fs9lii7teqlu3s6c
"1389307508997697538",Negativo Fraco,Neutra,D,d9lmms0qt686ev4lmu85s3nhie
"1389309050240782341",Positivo Fraco,Negativo Fraco,D,u00k428m046o7mq4ipq5uhnlgq
"1389309552538136576",Negativo Médio,Negativo Forte,A,t7bjj9sm036osqj82ms7931pib
"1389309552538136576",Negativo Médio,Negativo Médio,A,d7gesl3gppc1drt2r90l0kksc0
"1389409388432080900",Negativo Médio,Negativo Forte,A,t2fs9chk8qerqdi8i7kfr6gr1t
"1389554324867588099",Negativo Forte,Negativo Forte,A,c2ua8va222fs9lii7teqlu3s6c
"1389576631786909696",Negativo Médio,Negativo Médio,D,t2fs9chk8qerqdi8i7kfr6gr1t
"1389590347332956180",Negativo Forte,Negativo Forte,D,c2ua8va222fs9lii7teqlu3s6c
"1389751527565316098",Negativo Fraco,Negativo Forte,D,hifip81cfia6o7hntbg2u7vqc0
"1389752307152310272",Negativo Forte,Negativo Fraco,D,t2fs9chk8qerqdi8i7kfr6gr1t
"1389766712057372673",Negativo Forte,Neutra,A,d7gesl3gppc1drt2r90l0kksc0
"1389774283396747267",Negativo Forte,Negativo Médio,D,hifip81cfia6o7hntbg2u7vqc0
"1389800867415707648",Negativo Forte,Negativo Forte,D,t2fs9chk8qerqdi8i7kfr6gr1t
"1389803570216640512",Positivo Fraco,Negativo Médio,D,oof1qva57oj5hki084b5hi7m5a
"1389820766087258113",Negativo Forte,Negativo Forte,D,c2ua8va222fs9lii7teqlu3s6c
"1389851200632262656",Negativo Forte,Negativo Fraco,D,oof1qva57oj5hki084b5hi7m5a
"1389859616515891201",Negativo Fraco,Neutra,D,oof1qva57oj5hki084b5hi7m5a
"1389859835529809920",Negativo Fraco,Negativo Fraco,D,s457ti1vhqksns27eqpjet5l6a
"1389887050732736512",Positivo Fraco,Negativo Médio,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1389887050732736512",Positivo Fraco,Negativo Forte,A,tnnomrt3rg656u2rst71u0umh8
"1389899795167383553",Positivo Médio,Negativo Forte,A,noe25tih2m9hi3fa899jenetob
"1389937374776471555",Negativo Forte,Negativo Fraco,D,d9lmms0qt686ev4lmu85s3nhie
"1389940782753271808",Negativo Médio,Negativo Médio,A,b5gjmgsosm8audo6h8f08mm7lk
"1389946238141931520",Positivo Médio,Neutra,A,b5gjmgsosm8audo6h8f08mm7lk
"1389950232708976643",Positivo Fraco,Negativo Médio,A,s457ti1vhqksns27eqpjet5l6a
"1389955073560698944",Negativo Médio,Negativo Fraco,D,t7bjj9sm036osqj82ms7931pib
"1389958070499827714",Negativo Médio,Negativo Fraco,D,d7gesl3gppc1drt2r90l0kksc0
"1389962428667072514",Negativo Forte,Negativo Fraco,A,"6f66jnppmcs9rr3qn0mhbqmu8r"
"1389970567797821443",Negativo Forte,Negativo Forte,D,b5gjmgsosm8audo6h8f08mm7lk
"1389983134754779139",Negativo Forte,Negativo Forte,A,"6q8untnl1kvbh624mo6ulgl6oo"
"1389989340927901701",Negativo Médio,Negativo Forte,D,d9lmms0qt686ev4lmu85s3nhie
"1389996368966602763",Negativo Médio,Negativo Forte,D,t7bjj9sm036osqj82ms7931pib
"1390014862701563904",Positivo Forte,Neutra,D,b5gjmgsosm8audo6h8f08mm7lk
